iso_code,en,fr,es
DZA,Algeria,Algérie,Algeria
ECU,Ecuador,Équateur,Ecuador
EGY,Egypt,Égypte,Egypt
ERI,Eritrea,Érythrée,Eritrea
ESH,Western Sahara,Sahara occidental,Western Sahara
ESP,Spain,Espagne,Spain
EST,Estonia,Estonie,Estonia
ETH,Ethiopia,Éthiopie,Ethiopia
FIN,Finland,Finlande,Finland
FJI,Fiji,Fidji,Fiji
FLK,Falkland Islands (Malvinas),Îles Falkland,Falkland Islands (Malvinas)
FRA,France,France,France
FRO,Faroe Islands,Îles Féroé,Faroe Islands
FSM,"Micronesia, Federated States of",Micronésie,"Micronesia, Federated States of"
GAB,Gabon,Gabon,Gabon
GB-CHA,Channel Islands,Îles Anglo-Normandes ,Channel Islands
GBR,United Kingdom,Royaume-Uni,United Kingdom
GEO,Georgia,Géorgie,Georgia
GGY,Guernsey,Guernesey,Guernsey
GHA,Ghana,Ghana,Ghana
GIB,Gibraltar,Gibraltar,Gibraltar
GIN,Guinea,Guinée,Guinea
GLP,Guadeloupe,Guadeloupe,Guadeloupe
GMB,Gambia,Gambie,Gambia
GNB,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau
GNQ,Equatorial Guinea,Guinée équatoriale,Equatorial Guinea
GRC,Greece,Grèce,Greece
GRD,Grenada,Grenade,Grenada
GRL,Greenland,Groenland,Greenland
GTM,Guatemala,Guatemala,Guatemala
GUF,French Guiana,Guyane française,French Guiana
GUM,Guam,Guam,Guam
GUY,Guyana,Guyane,Guyana
HKG,Hong Kong,Hong Kong,Hong Kong
HMD,Heard Island And Mcdonald Islands,Îles Heard-et-MacDonald,Heard Island And Mcdonald Islands
HND,Honduras,Honduras,Honduras
HRV,Croatia,Croatie,Croatia
HTI,Haiti,Haïti,Haiti
HUN,Hungary,Hongrie,Hungary
IDN,Indonesia,Indonésie,Indonesia
IMN,Isle of Man,Ile de Man,Isle of Man
IND,India,Inde,India
IOT,British Indian Ocean Territory,Territoire britannique de l’Océan Indien,British Indian Ocean Territory
IRL,Ireland,Irlande,Ireland
IRN,"Iran, Islamic Republic of",Iran,"Iran, Islamic Republic of"
IRQ,Iraq,Irak,Iraq
ISL,Iceland,Islande,Iceland
ISR,Israel,Israël,Israel
ITA,Italy,Italie,Italy
JAM,Jamaica,Jamaïque,Jamaica
JEY,Jersey,Jersey,Jersey
JOR,Jordan,Jordanie,Jordan
JPN,Japan,Japon,Japan
KAZ,Kazakhstan,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya,Kenya
KGZ,Kyrgyzstan,Kirghizistan,Kyrgyzstan
KHM,Cambodia,Cambodge,Cambodia
KIR,Kiribati,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,Saint Kitts and Nevis
KOR,"Korea, Republic of",Corée du Sud,"Korea, Republic of"
KWT,Kuwait,Koweït,Kuwait
LAO,Lao People's Democratic Republic,Laos,Lao People's Democratic Republic
LBN,Lebanon,Liban,Lebanon
LBR,Liberia,Libéria,Liberia
LBY,Libya,Libye,Libya
LCA,Saint Lucia,Sainte-Lucie,Saint Lucia
LIE,Liechtenstein,Liechtenstein,Liechtenstein
LKA,Sri Lanka,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesotho,Lesotho
LTU,Lithuania,Lituanie,Lithuania
LUX,Luxembourg,Luxembourg,Luxembourg
LVA,Latvia,Lettonie,Latvia
MAC,Macao,Macao,Macao
MAF,Saint Martin (French part),Saint-Martin (partie française),Saint Martin (French part)
MAR,Morocco,Maroc,Morocco
MCO,Monaco,Monaco,Monaco
MDA,"Moldova, Republic of",Moldavie,"Moldova, Republic of"
MDG,Madagascar,Madagascar,Madagascar
MDV,Maldives,Maldives,Maldives
MEX,Mexico,Mexique,Mexico
MHL,Marshall Islands,Îles Marshall,Marshall Islands
MKD,"Macedonia, The Former Yugoslav Republic of",Macédoine,"Macedonia, The Former Yugoslav Republic of"
MLI,Mali,Mali,Mali
MLT,Malta,Malte,Malta
MMR,Myanmar,Myanmar,Myanmar
MNE,Montenegro,Monténégro,Montenegro
MNG,Mongolia,Mongolie,Mongolia
MNP,Northern Mariana Islands,Îles Mariannes du Nord,Northern Mariana Islands
MOZ,Mozambique,Mozambique,Mozambique
MRT,Mauritania,Mauritanie,Mauritania
MSR,Montserrat,Montserrat,Montserrat
MTQ,Martinique,Martinique,Martinique
MUS,Mauritius,Maurice,Mauritius
MWI,Malawi,Malawi,Malawi
MYS,Malaysia,Malaisie,Malaysia
MYT,Mayotte,Mayotte,Mayotte
NAM,Namibia,Namibie,Namibia
NCL,New Caledonia,Nouvelle-Calédonie,New Caledonia
NER,Niger,Niger,Niger
NFK,Norfolk Island,Île Norfolk,Norfolk Island
NGA,Nigeria,Nigeria,Nigeria
NIC,Nicaragua,Nicaragua,Nicaragua
NIU,Niue,Niue,Niue
NLD,Netherlands,Pays-Bas,Netherlands
NOR,Norway,Norvège,Norway
NPL,Nepal,Népal,Nepal
NRU,Nauru,Nauru,Nauru
NZL,New Zealand,Nouvelle-Zélande,New Zealand
OMN,Oman,Oman,Oman
PAK,Pakistan,Pakistan,Pakistan
PAN,Panama,Panama,Panama
PCN,Pitcairn,Pitcairn,Pitcairn
PER,Peru,Pérou,Peru
PHL,Philippines,Philippines,Philippines
PLW,Palau,Palau,Palau
PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua New Guinea
POL,Poland,Pologne,Poland
PRI,Puerto Rico,Puerto Rico,Puerto Rico
PRK,"Korea, Democratic People's Republic of",Corée du Nord,"Korea, Democratic People's Republic of"
PRT,Portugal,Portugal,Portugal
PRY,Paraguay,Paraguay,Paraguay
PSE,"Palestine, State of",Palestine,"Palestine, State of"
PYF,French Polynesia,Polynésie française,French Polynesia
QAT,Qatar,Qatar,Qatar
QYU,States of ex-Yugoslavia unspecified,0,States of ex-Yugoslavia unspecified
REU,Réunion,Réunion,Réunion
ROU,Romania,Roumanie,Romania
RUS,Russian Federation,Russie,Russian Federation
RWA,Rwanda,Rwanda,Rwanda
SAU,Saudi Arabia,Arabie Saoudite,Saudi Arabia
SDN,Sudan,Soudan,Sudan
SEN,Senegal,Sénégal,Senegal
SGP,Singapore,Singapour,Singapore
SGS,South Georgia And The South Sandwich Islands,Géorgie du Sud et les îles Sandwich du Sud,South Georgia And The South Sandwich Islands
SHN,"Saint Helena, Ascension and Tristan Da Cunha",Sainte-Hélène,"Saint Helena, Ascension and Tristan Da Cunha"
SJM,Svalbard and Jan Mayen,Svalbard et Jan Mayen,Svalbard and Jan Mayen
SLB,Solomon Islands,Îles Salomon,Solomon Islands
SLE,Sierra Leone,Sierra Leone,Sierra Leone
SLV,El Salvador,Salvador,El Salvador
SMR,San Marino,Saint-Marin,San Marino
SOM,Somalia,Somalie,Somalia
SPM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,Saint Pierre and Miquelon
SRB,Serbia,Serbie,Serbia
SSD,South Sudan,Sud-Soudan,South Sudan
STP,Sao Tome and Principe,Sao Tomé-et-Principe,Sao Tome and Principe
SUR,Suriname,Suriname,Suriname
SVK,Slovakia,Slovaquie,Slovakia
SVN,Slovenia,Slovénie,Slovenia
SWE,Sweden,Suède,Sweden
SWZ,Swaziland,Eswatini,Swaziland
SXM,Sint Maarten (Dutch part),Saint-Martin (partie néerlandaise),Sint Maarten (Dutch part)
SYC,Seychelles,Seychelles,Seychelles
SYR,Syrian Arab Republic,Syrie,Syrian Arab Republic
TCA,Turks and Caicos Islands,Îles Turques-et-Caïques,Turks and Caicos Islands
TCD,Chad,Tchad,Chad
TGO,Togo,Togo,Togo
THA,Thailand,Thaïlande,Thailand
TJK,Tajikistan,Tadjikistan,Tajikistan
TKL,Tokelau,Tokelau,Tokelau
TKM,Turkmenistan,Turkménistan,Turkmenistan
TLS,Timor-Leste,Timor-Leste,Timor-Leste
TON,Tonga,Tonga,Tonga
TTO,Trinidad and Tobago,Trinité-et-Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisie,Tunisia
TUR,Turkey,Turquie,Turkey
TUV,Tuvalu,Tuvalu,Tuvalu
TWN,"Taiwan, Province Of China",Taiwan,"Taiwan, Province Of China"
TZA,"Tanzania, United Republic of",Tanzanie,"Tanzania, United Republic of"
UGA,Uganda,Ouganda,Uganda
UKR,Ukraine,Ukraine,Ukraine
UMI,United States Minor Outlying Islands,Îles mineures éloignées des États-Unis,United States Minor Outlying Islands
URY,Uruguay,Uruguay,Uruguay
USA,United States,États-Unis,United States
UZB,Uzbekistan,Ouzbékistan,Uzbekistan
VAT,Holy See (Vatican City State),Saint-Siège (Vatican),Holy See (Vatican City State)
VCT,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,Saint Vincent and the Grenadines
VEN,"Venezuela, Bolivarian Republic of",Venezuela,"Venezuela, Bolivarian Republic of"
VGB,"Virgin Islands, British ",British Virgin Islands,"Virgin Islands, British "
VIR,"Virgin Islands, U.S.",Îles Vierges américaines,"Virgin Islands, U.S."
VNM,Vietnam,Viêt Nam,Vietnam
VUT,Vanuatu,Vanuatu,Vanuatu
WLF,Wallis and Futuna,Wallis-et-Futuna,Wallis and Futuna
WSM,Samoa,Samoa,Samoa
YEM,Yemen,Yémen,Yemen
YUG,Serbia & Montenegro,Serbie et Monténégro,Serbia & Montenegro
ZAF,South Africa,Afrique du Sud,South Africa
ZMB,Zambia,Zambie,Zambia
ZWE,Zimbabwe,Zimbabwe,Zimbabwe
